JumlahPenduduk,Kemiskinan,Pendapatan,Golput14,Golput19,Class
"4,494,410","831,500","2,232,163","2,634,737","1,814,020",1
"12,982,204","1,291,990","2,282,269","6,689,219","5,956,916",2
"4,846,909","353,240","2,614,965","2,519,435","1,995,455",3
"5,538,367","494,260","2,542,584","2,863,482","2,417,084",1
"3,092,265","281,470","2,223,362","1,327,945","1,069,571",1
"7,450,394","1,076,400","2,291,648","3,305,996","2,760,268",3
"1,715,518","303,550","2,510,479","758,844","556,010",3
"7,608,405","1,091,600","2,273,248","3,290,780","2,905,009",2
"1,223,296","69,930","2,728,863","611,229","444,912",2
"1,679,163","125,360","4,254,308","859,938","690,458",1
"9,607,787","372,260","4,415,849","4,233,532","3,309,647",2
"43,053,732","3,539,400","3,202,864","19,509,975","18,085,866",2
"32,382,657","3,867,420","2,158,681","12,999,104","10,990,811",2
"3,457,491","450,250","2,114,031","1,248,483","1,085,188",1
"37,476,757","4,292,150","2,398,992","15,985,612","13,730,051",2
"10,632,166","668,740","3,873,876","5,056,088","4,263,407",2
"3,890,757","168,340","2,893,139","1,742,942","1,361,000",1
"4,500,212","735,620","2,195,209","1,976,825","1,556,516",2
"4,683,827","1,134,110","2,069,196","2,554,155","2,046,296",1
"4,395,983","369,730","2,387,336","1,797,675","1,449,418",2
"2,212,089","136,450","2,771,167","1,050,820","866,436",2
"3,626,616","195,010","2,701,895","1,766,172","1,360,002",2
"3,553,143","222,390","3,800,096","1,698,051","1,623,014",1
"2,270,596","49,590","3,128,636","1,021,213","711,184",3
"2,635,009","189,050","3,019,857","1,236,781","1,076,456",1
"8,034,776","413,490","2,284,210","3,793,403","3,206,130",2
"2,232,586","779,640","2,764,748","1,107,987","873,262",2
"1,040,164","301,850","2,604,510","441,030","328,172",2
"1,158,651","188,30","2,140,943","539,517","426,670",2
"1,533,506","152,830","1,963,860","683,165","637,742",1
"1,038,087","317,840","2,518,027","478,634","416,760",2
"2,833,381","213,670","3,119,374","2,330,660","2,567,973",1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,